patient_id,z_risk_death,z_risk_hosp,z_risk_adr,z_fi_lab
10_AO San Pio,-0.276435456,0.928405115,0.890332375,1.196561892
10_AORN A. Cardarelli,0.073191551,0.556027721,-2.138019019,1.196561892
10_AORN Monaldi – Cotugno - C.T.O.,1.891840412,0.282365895,0.400160195,2.170635467
10_AORN San Giuseppe Moscati,-0.356087233,1.597014024,-0.23951274,-0.264548469
10_AORN Sant’Anna e San Sebastiano,-0.337761091,-0.222885094,0.123508601,-0.134671992
10_AOU San Giovanni di Dio Ruggi di Aragona,-0.322995691,0.203864673,0.861612094,-0.134671992
10_Ospedale del mare,-0.25223839,-0.51240983,0.649696115,-0.134671992
10_PO Andrea Tortora di Pagani,-0.213491534,0.371672404,2.203913073,-0.134671992
10_PO S. Maria delle Grazie,-0.034114297,0.533170565,-0.971267714,0.222488318
10_PO San Luca di Vallo della Lucania,-0.292561895,-0.320807068,-0.885640712,-1.72565883
11_AO San Pio,-0.278838231,-0.173868651,-0.878864002,0.709525105
11_AORN A. Cardarelli,-0.219401569,1.926768494,-0.188239105,-0.542855204
11_AORN Monaldi – Cotugno - C.T.O.,0.013517333,1.281330391,0.047499395,-0.751585256
11_AORN San Giuseppe Moscati,-0.291341015,-1.201899901,-0.315160512,-1.238622043
11_AORN Sant’Anna e San Sebastiano,-0.29516232,0.070057154,-0.779391505,-1.504278473
11_AOU San Giovanni di Dio Ruggi di Aragona,-0.279352997,1.652273506,1.177599831,-0.134671992
11_Ospedale del mare,-0.242159758,0.264674624,0.382421658,-0.134671992
11_PO Andrea Tortora di Pagani,-0.17372284,0.421699845,-1.458897931,2.037807252
11_PO S. Maria delle Grazie,-0.234282249,0.264506426,-0.074943834,2.170635467
11_PO San Luca di Vallo della Lucania,-0.099044564,-1.327640527,0.811290524,1.683598679
12_AO San Pio,-0.274437207,1.497786885,-0.940457387,-0.264548469
12_AORN Monaldi – Cotugno - C.T.O.,-0.305274454,0.990297506,2.14979438,-1.238622043
12_AORN San Giuseppe Moscati,-0.365611343,-0.388898684,1.738247614,-0.751585256
12_AORN Sant’Anna e San Sebastiano,-0.338996368,-0.41949374,-1.140760828,2.582743517
12_AOU San Giovanni di Dio Ruggi di Aragona,-0.301285592,-0.210878083,0.895230198,-0.134671992
12_Ospedale del mare,-0.246942587,-0.123049299,1.66871416,-0.134671992
12_PO Andrea Tortora di Pagani,-0.141425486,0.287721219,-0.684654163,-0.913930852
12_PO S. Maria delle Grazie,-0.274568876,-1.637540154,-0.318062011,-1.72565883
12_PO San Luca di Vallo della Lucania,-0.276022141,-1.526766812,1.42419429,-1.238622043
