variable,dtype,missing_pct,n_unique,top_level,top_level_pct
birth_date,object,0.0,402,1954-01-10,0.49
age,int64,0.0,49,,
age_group,object,0.0,2,<= 65 years,50.99
gender,object,0.0,2,Male,64.04
ethnicity,object,1.23,4,Caucasian,99.0
education_level,object,1.23,5,Not Known / Missing,46.38
bmi_value,float64,1.23,292,,
bmi_category,object,1.23,4,18.5-24.9 Normal Weight,57.61
employment_status,object,1.23,5,Worker,30.42
alcohol_consumption,object,1.23,4,Non-drinker,39.65
smoking_status_binary,float64,33.5,2,,
smoking_status_detail,object,1.23,4,Not Known / Missing,32.67
smoking_years,float64,95.57,10,,
observation_start_date,object,0.0,269,2022-05-24,1.23
observation_end_date,object,0.0,232,2024-12-31,32.76
observation_end_reason,object,0.0,3,Lost to Follow-Up,46.06
tumor_diagnosis_date,object,6.16,310,2022-01-04,0.79
Oncology Unit Intake Date,object,36.7,214,2022-05-03,1.17
tumor_type,object,0.0,20,k colon,55.91
breast_cancer_subtype,object,99.75,1,1900-01-03,100.0
colon_cancer_location,object,73.4,2,Left,50.0
stadio_TNM,object,40.89,57,T3 N1,13.75
tumor_stage_roman,object,33.5,4,Stage IV,46.3
histological_grade,object,40.64,3,G2,62.66
molecular_alterations,object,0.0,2,Absent / No,70.2
mutations_present,object,0.0,2,Absent / No,83.0
genotipo_DPYD,float64,0.99,2,,
genotipo_DPYD_type,float64,15.02,2,,
surgical_intervention,object,0.0,2,Present / Yes,52.46
surgery_date,object,48.03,194,2023-04-13,1.42
surgery_type,object,49.51,6,Partial Tumor Excision,65.85
surgery_type_specify,object,74.63,77,emicolectomia dx,9.71
prior_surgery,object,48.03,2,Present / Yes,75.36
prior_radiotherapy,object,91.38,2,Absent / No,60.0
Number of Previous Treatment Lines,int64,0.0,2,,
Other Surgical Intervention,int64,0.0,2,,
surgery_complications,object,47.29,3,Missing / Not Known,53.27
reoperation_for_complication,object,71.43,2,Absent / No,87.93
hospitalization_for_surgery_complication,object,70.94,2,Absent / No,98.31
oncology_treatment_lines_n,int64,0.0,4,,
radiotherapy_status,int64,0.0,2,,
radiotherapy_start_date,object,91.38,34,2023-01-10,5.71
radiotherapy_end_date,object,92.36,30,2023-08-16,6.45
transfusion_received,object,0.0,2,Absent / No,96.06
transfusions_total_n,int64,0.0,2,,
hypertension,object,0.0,2,Absent / No,66.75
aortic_insufficiency,object,0.0,2,Absent / No,99.51
dyslipidemia,object,0.0,2,Absent / No,89.9
IPB,int64,0.0,2,,
obesity_comorbidity,object,0.0,2,Absent / No,97.78
ischemic_heart_disease,object,0.0,2,Absent / No,93.35
atrial_fibrillation,object,0.0,2,Absent / No,97.54
copd,object,0.0,2,Absent / No,93.84
asthma,object,0.0,2,Absent / No,99.26
diabete_tipo_II,int64,0.0,2,,
gastroesophageal_reflux_full,int64,0.0,2,,
hypertensive_heart_disease,int64,0.0,2,,
renal_insufficiency,object,0.0,2,Absent / No,98.77
depressive_syndrome,object,0.0,2,Absent / No,97.78
anemia_comorbidity,object,0.0,2,Absent / No,97.29
psychiatric_disorders,object,0.0,2,Absent / No,99.75
other_comorbidities,object,0.0,2,Absent / No,93.84
cardiovascular_disorders,object,0.0,2,Absent / No,95.57
gastrointestinal_disorders,object,0.0,2,Absent / No,95.57
cerebrovascular_disorders,object,0.0,2,Absent / No,99.01
ordinary_hospitalizations_n,int64,0.0,6,,
death_outcome,object,0.0,2,Absent / No,78.82
adr_description,int64,0.0,2,,
adr_n_tot,int64,0.0,35,,
adr_n_grado1,int64,0.0,27,,
adr_n_grado2,int64,0.0,14,,
adr_n_grado3,int64,0.0,6,,
adr_n_grado4,int64,0.0,4,,
adr_n_grado5,int64,0.0,2,,
survival_days,int64,0.0,326,,
blood_glucose_range,object,31.53,3,Normal (65-110 mg/dL),74.82
white_blood_cells_range,object,16.26,3,Normal (4000-11000 cells/µL),82.94
red_blood_cells_range,object,15.02,6,4.5-5.9 (Maschi),37.39
hemoglobin_range,object,15.02,6,<13 (Maschi),35.07
neutrophils_percent_range,object,16.26,3,Normal (40-75%),84.71
