params,mean_test_score,std_test_score,rank_test_score,model
"{'model__penalty': 'l1', 'model__l1_ratio': np.float64(0.1), 'model__C': np.float64(1.2689610031679235)}",0.9241467834491092,0.020322171029795517,1,LogReg_ElasticNet
"{'model__penalty': 'l1', 'model__l1_ratio': np.float64(0.30000000000000004), 'model__C': np.float64(1.2689610031679235)}",0.9241467834491092,0.020322171029795517,1,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(1.0), 'model__C': np.float64(1.2689610031679235)}",0.9241467834491092,0.020322171029795517,1,LogReg_ElasticNet
"{'model__penalty': 'l1', 'model__l1_ratio': np.float64(1.0), 'model__C': np.float64(0.8531678524172814)}",0.9232658814054162,0.023095239406304237,4,LogReg_ElasticNet
"{'model__penalty': 'l1', 'model__l1_ratio': np.float64(0.2), 'model__C': np.float64(0.8531678524172814)}",0.9232658814054162,0.023095239406304237,4,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(0.9), 'model__C': np.float64(2.8072162039411785)}",0.9189821806100875,0.019738111818175207,6,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(0.2), 'model__C': np.float64(0.5736152510448681)}",0.9182673915232055,0.02418349691154079,7,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(0.30000000000000004), 'model__C': np.float64(0.38566204211634725)}",0.9180459075807914,0.027048708551626124,8,LogReg_ElasticNet
"{'model__penalty': 'l2', 'model__l1_ratio': np.float64(0.5), 'model__C': np.float64(1.8873918221350976)}",0.9170139937581798,0.020717396156062398,9,LogReg_ElasticNet
"{'model__penalty': 'l2', 'model__l1_ratio': np.float64(0.9), 'model__C': np.float64(1.8873918221350976)}",0.9170139937581798,0.020717396156062398,9,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(0.7000000000000001), 'model__C': np.float64(0.38566204211634725)}",0.9167069364743783,0.034137590905378996,11,LogReg_ElasticNet
"{'model__penalty': 'l2', 'model__l1_ratio': np.float64(0.7000000000000001), 'model__C': np.float64(1.2689610031679235)}",0.9163495419309372,0.021288493018147156,12,LogReg_ElasticNet
"{'model__penalty': 'l2', 'model__l1_ratio': np.float64(0.4), 'model__C': np.float64(2.8072162039411785)}",0.9161632940702708,0.019642899026031127,13,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(0.1), 'model__C': np.float64(0.38566204211634725)}",0.9161230242625592,0.02364882601588258,14,LogReg_ElasticNet
"{'model__penalty': 'elasticnet', 'model__l1_ratio': np.float64(0.5), 'model__C': np.float64(4.175318936560405)}",0.9153931339977852,0.016949337944557576,15,LogReg_ElasticNet
